[2023-06-01 19:15:27] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:27] [INFO: OSF-LOG   ] {2|ep-207 } RTTTTT|
[2023-06-01 19:15:27] [nid : BV        ] 68 0
[2023-06-01 19:15:27] [PKT : BV        ] 00 01 02 00 00 44 00 a4 77 74 67 a0 bd 28 23 49 84
[2023-06-01 19:15:27] [new_id: BV        ] 1
[2023-06-01 19:15:27] [INFO: App       ] RX: a4 77 74 67 a0 bd 28 23
[2023-06-01 19:15:28] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:28] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:28] [INFO: OSF-LOG   ] {2|ep-208 } RTTTTT|
[2023-06-01 19:15:28] [PKT : BV        ] 00 01 02 00 00 44 00 a4 77 74 67 a0 bd 28 23 49 84
[2023-06-01 19:15:29] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:29] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:29] [INFO: OSF-LOG   ] {2|ep-209 } RTTTTT|
[2023-06-01 19:15:29] [PKT : BV        ] 00 01 02 00 00 44 00 a4 77 74 67 a0 bd 28 23 49 84
[2023-06-01 19:15:30] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:30] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:30] [INFO: OSF-LOG   ] {2|ep-210 } RTTTTT|
[2023-06-01 19:15:30] [nid : BV        ] 69 0
[2023-06-01 19:15:30] [PKT : BV        ] 00 01 02 00 00 45 00 26 df 75 07 cf 19 22 fe 8e 8a
[2023-06-01 19:15:30] [new_id: BV        ] 1
[2023-06-01 19:15:30] [INFO: App       ] RX: 26 df 75 07 cf 19 22 fe
[2023-06-01 19:15:31] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:31] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:31] [INFO: OSF-LOG   ] {2|ep-211 } RTTTTT|
[2023-06-01 19:15:31] [PKT : BV        ] 00 01 02 00 00 45 00 26 df 75 07 cf 19 22 fe 8e 8a
[2023-06-01 19:15:32] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:32] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:32] [INFO: OSF-LOG   ] {2|ep-212 } RTTTTT|
[2023-06-01 19:15:32] [PKT : BV        ] 00 01 02 00 00 45 00 26 df 75 07 cf 19 22 fe 8e 8a
[2023-06-01 19:15:33] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:33] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:33] [INFO: OSF-LOG   ] {2|ep-213 } RTTTTT|
[2023-06-01 19:15:33] [nid : BV        ] 70 0
[2023-06-01 19:15:33] [PKT : BV        ] 00 01 02 00 00 46 00 95 26 ea 8d eb 58 34 f2 9f 9c
[2023-06-01 19:15:33] [new_id: BV        ] 1
[2023-06-01 19:15:33] [INFO: App       ] RX: 95 26 ea 8d eb 58 34 f2
[2023-06-01 19:15:34] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:34] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:34] [INFO: OSF-LOG   ] {2|ep-214 } RTTTTT|
[2023-06-01 19:15:34] [PKT : BV        ] 00 01 02 00 00 46 00 95 26 ea 8d eb 58 34 f2 9f 9c
[2023-06-01 19:15:35] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:35] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:35] [INFO: OSF-LOG   ] {2|ep-215 } RTTTTT|
[2023-06-01 19:15:35] [PKT : BV        ] 00 01 02 00 00 46 00 95 26 ea 8d eb 58 34 f2 9f 9c
[2023-06-01 19:15:36] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:36] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:36] [INFO: OSF-LOG   ] {2|ep-216 } RTTTTT|
[2023-06-01 19:15:36] [nid : BV        ] 71 0
[2023-06-01 19:15:36] [PKT : BV        ] 00 01 02 00 00 47 00 e3 50 47 50 bf 69 91 10 12 2d
[2023-06-01 19:15:36] [new_id: BV        ] 1
[2023-06-01 19:15:36] [INFO: App       ] RX: e3 50 47 50 bf 69 91 10
[2023-06-01 19:15:37] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:37] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:37] [INFO: OSF-LOG   ] {2|ep-217 } RTTTTT|
